Name,Description,Tags,Price (USD),SKU
Snow Veil,"A crisp white with a hint of warmth — perfect for open, modern interiors.","soft white, airy, minimal, fresh",59.5,CP-0001
Porcelain Mist,"A gentle off-white that softens spaces with a cozy, inviting glow.","warm neutral, beige, cozy, calm",59.5,CP-0002
Stone Dusk,"A balanced mix of gray and beige, ideal for grounding a room without heaviness.","greige, muted, balanced, modern",59.5,CP-0003
Fog Harbor,A moody gray with blue undertones that feels sleek and contemporary.,"cool gray, stormy, industrial, sleek",59.5,CP-0004
Graphite Fade,A dark graphite shade that adds weight and sophistication to feature walls.,"charcoal, deep gray, moody, bold",59.5,CP-0005
Obsidian Pearl,A rich black that creates contrast and drama while staying refined.,"black, matte, dramatic, luxe",59.5,CP-0006
Steel Sky,"A mid-tone slate blue that feels steady, grounded, and architectural.","slate, bluish gray, urban, cool",59.5,CP-0007
Blue Ash,A softened navy with gray undertones — stylish but not overpowering.,"midnight, muted navy, grounding, refined",59.5,CP-0008
Cloud Drift,A breezy pastel blue that brings calm and a sense of open sky.,"pale blue, soft, tranquil, airy",59.5,CP-0009
Silver Shore,"A frosty gray with subtle silver hints — sharp, bright, and clean.","cool gray, icy, clean, modern",59.5,CP-0010
Seafoam Light,A soft seafoam tone that feels breezy and coastal without being too bold.,"pale green, misty, fresh, coastal",59.5,CP-0011
Quiet Moss,A sage-infused gray that adds organic calm to any interior palette.,"sage gray, organic, muted, grounding",59.5,CP-0012
Olive Stone,A grounded olive shade that pairs well with natural textures like wood and linen.,"earthy, muted green, natural, rustic",59.5,CP-0013
Verdant Haze,A muted teal that blends serenity with just enough depth for modern accents.,"soft teal, subdued, calming, serene",59.5,CP-0014
Glacier Tint,"A barely-there aqua that brings a refreshing, clean lift to light spaces.","pale aqua, refreshing, crisp, airy",59.5,CP-0015
Pine Shadow,"A forest-tinged gray with a natural edge, anchoring without feeling heavy.","forest gray, cool green, earthy, grounding",59.5,CP-0016
